Date,Receta,Tipo de comida,Ingredientes (intermedio),Costo Estimado,Costo receta,¿Ya cocinada?,¿Ya programada?,Planificación de comidas,Contar programadas,URL/Fuente,Notas,Despensa/Productos (Maestra),Ingredientes,Despensa/Productos (Maestra) 1,Valor receta
,Tomaticán,Almuerzo,"@Arroz (Ingredientes%20de%20Recetas/@Arroz%2024688a385be7808ca3cedbc26f43fe04.csv), @Tomate (Ingredientes%20de%20Recetas/@Tomate%2024788a385be780dcb862e4514bde699e.csv), @Cebolla (Ingredientes%20de%20Recetas/@Cebolla%2024788a385be780b49d21d81819834365.csv), @Choclo (Ingredientes%20de%20Recetas/@Choclo%2024788a385be780c4b530f3fa0cc3b112.csv), @Carne molida (Ingredientes%20de%20Recetas/@Carne%20molida%2024788a385be780bc9502dbfeb77c694a.csv)",🟡 Medio,12168.5,No,No,Plato (Planificaci%C3%B3n%20de%20comidas%20y%20compras/Plato%2025f88a385be780a38ab3d57dd259d77c.csv),1,,,,,,12168.5
"August 12, 2025",Fideos con Bolognesa Glu,Almuerzo,"Fideos sin Gluten (Ingredientes%20de%20Recetas/Fideos%20sin%20Gluten%2024688a385be78038b595e99a831bab4b.csv), Sal (Ingredientes%20de%20Recetas/Sal%2024688a385be780c09bd0ddab4a405181.csv), Cebolla (Ingredientes%20de%20Recetas/Cebolla%2024688a385be780e4b168d1f3c1887b46.csv), Zanahoria (Ingredientes%20de%20Recetas/Zanahoria%2024688a385be780e58422eb32ca85bcee.csv), Carne Molida (Ingredientes%20de%20Recetas/Carne%20Molida%2024688a385be780bf8c38dffb13454ba3.csv), @Salsa de tomate  (Ingredientes%20de%20Recetas/@Salsa%20de%20tomate%2024788a385be780ad9c2ac5b84a05144e.csv)",🟡 Medio,12633.633333333599,No,No,"Plato (Planificaci%C3%B3n%20de%20comidas%20y%20compras/Plato%2025f88a385be780179611cb8d02e69d13.csv), Plato (Planificaci%C3%B3n%20de%20comidas%20y%20compras/Plato%2025f88a385be780b3a489e0cbbca9902d.csv), Plato (Planificaci%C3%B3n%20de%20comidas%20y%20compras/Plato%2025f88a385be7805196d9e8db6042af5f.csv), Plato (Planificaci%C3%B3n%20de%20comidas%20y%20compras/Plato%2025f88a385be7803e8adcea67732459ad.csv)",4,,,,,,12633.6333333336
,Fajitas,Almuerzo,"@Tortillas Fajitas (Ingredientes%20de%20Recetas/@Tortillas%20Fajitas%2024688a385be780cc9d01f9b824c83a51.csv), @Tomate (Ingredientes%20de%20Recetas/@Tomate%2024788a385be7805a98e3e3383f57bf41.csv), @Palta (Ingredientes%20de%20Recetas/@Palta%2024788a385be7801b8176e2f69d741883.csv), @Mayonesa (Ingredientes%20de%20Recetas/@Mayonesa%2024788a385be7804ea0bccb20d7263cd1.csv), @Choclo (Ingredientes%20de%20Recetas/@Choclo%2024788a385be7807a979de523fae46c82.csv), @Ketchup (Ingredientes%20de%20Recetas/@Ketchup%2024788a385be780db8181cd1e7b870ec5.csv)",🟡 Medio,12720.11764705875,No,No,Plato (Planificaci%C3%B3n%20de%20comidas%20y%20compras/Plato%2025f88a385be78098b588f5c02bb786a9.csv),1,,,,,,12720.11764705875
,Charquicán,Almuerzo,"@Papas (Ingredientes%20de%20Recetas/@Papas%2024688a385be78064b326fd8b4e3c2a7a.csv), @Choclo (Ingredientes%20de%20Recetas/@Choclo%2024788a385be78074a30cd042013cf898.csv), @Carne molida (Ingredientes%20de%20Recetas/@Carne%20molida%2024788a385be780819d54fd8ee6b069d7.csv), @Cebolla (Ingredientes%20de%20Recetas/@Cebolla%2024788a385be78029a831fac02cef2945.csv), @Arvejas (Ingredientes%20de%20Recetas/@Arvejas%2024788a385be780e4b2a6f55c07982f09.csv), @Porotos Verdes (Ingredientes%20de%20Recetas/@Porotos%20Verdes%2024788a385be780059271d3a4f9142f47.csv), @Pimentón (Ingredientes%20de%20Recetas/@Piment%C3%B3n%2024788a385be780b5ada4c3283bcadfb4.csv)",🟡 Medio,12765.1428571428,No,No,Plato (Planificaci%C3%B3n%20de%20comidas%20y%20compras/Plato%2025f88a385be780afbae0f88a782cc092.csv),1,,,,,,12765.1428571428
,Fideos con Bolognesa,Almuerzo,"Fideos (Ingredientes%20de%20Recetas/Fideos%2024688a385be780fdbdd1e424e9ec8eec.csv), Sal (Ingredientes%20de%20Recetas/Sal%2024688a385be780cdb6ffd9d5a1a244d7.csv), Cebolla (Ingredientes%20de%20Recetas/Cebolla%2024688a385be7800692b8c64dbbbdabb2.csv), Zanahoria (Ingredientes%20de%20Recetas/Zanahoria%2024688a385be780f98823fd206c41ea46.csv), Carne Molida (Ingredientes%20de%20Recetas/Carne%20Molida%2024688a385be78041b2b0ffa72e99f14b.csv), Salsa de Tomate (Ingredientes%20de%20Recetas/Salsa%20de%20Tomate%2024788a385be780eca1e8fea662fc32ed.csv)",🟡 Medio,13191.133333333599,No,No,"Plato (Planificaci%C3%B3n%20de%20comidas%20y%20compras/Plato%2025f88a385be780179611cb8d02e69d13.csv), Plato (Planificaci%C3%B3n%20de%20comidas%20y%20compras/Plato%2025f88a385be7805196d9e8db6042af5f.csv), Plato (Planificaci%C3%B3n%20de%20comidas%20y%20compras/Plato%2025f88a385be7803e8adcea67732459ad.csv)",3,,,,,,13191.1333333336
,Arroz con salsa,Almuerzo,"@Zanahoria (Ingredientes%20de%20Recetas/@Zanahoria%2024688a385be7803f89abf35a80544eee.csv), @Cebolla (Ingredientes%20de%20Recetas/@Cebolla%2024788a385be7800d97bfdec90fcafaf9.csv), @Pimentón (Ingredientes%20de%20Recetas/@Piment%C3%B3n%2024788a385be780808004c35dd61f3fee.csv), @Carne molida (Ingredientes%20de%20Recetas/@Carne%20molida%2024788a385be78020a0b5e66e3b78f133.csv), @Salsa de tomate (Ingredientes%20de%20Recetas/@Salsa%20de%20tomate%2024788a385be780ffa608ffe4e23e3eda.csv), @Arroz (Ingredientes%20de%20Recetas/@Arroz%2024788a385be7808389fbefa540db8c6d.csv)",🟡 Medio,13260.8333333336,No,No,Plato (Planificaci%C3%B3n%20de%20comidas%20y%20compras/Plato%2025f88a385be7805cb88bd70cb082f75f.csv),1,,,,,,13260.8333333336
,Puré con Pollo,Almuerzo,"@Papas (Ingredientes%20de%20Recetas/@Papas%2024788a385be780029364c0f75c48bae6.csv), @Crema sin lactosa (Ingredientes%20de%20Recetas/@Crema%20sin%20lactosa%2024788a385be78029931cce5575e3e313.csv), @Cebolla (Ingredientes%20de%20Recetas/@Cebolla%2024788a385be78062867dce678811f9ee.csv), @Pollo (Ingredientes%20de%20Recetas/@Pollo%2024788a385be780009e51e71aee0b440b.csv), @Mantequilla (Ingredientes%20de%20Recetas/@Mantequilla%2024788a385be780e7a998da353dd8cd5f.csv), @Perejil (Ingredientes%20de%20Recetas/@Perejil%2024788a385be78013b997eae23558850a.csv), @Maicena (Ingredientes%20de%20Recetas/@Maicena%2024788a385be7801ba72fe432b0cf1e5d.csv)",🟡 Medio,14045,No,No,Plato (Planificaci%C3%B3n%20de%20comidas%20y%20compras/Plato%2025f88a385be78096933ff04e6f05f55c.csv),1,,,,,,14045
,Puré con pollo al horno,Almuerzo,"@Papas (Ingredientes%20de%20Recetas/@Papas%2024688a385be7803fb90cc9339ba625fc.csv), @Crema sin lactosa (Ingredientes%20de%20Recetas/@Crema%20sin%20lactosa%2024788a385be7808fa9f2c005213ddc00.csv), @Mantequilla (Ingredientes%20de%20Recetas/@Mantequilla%2024788a385be780da9f0aed1ad7bd6ec7.csv), @Pollo (Ingredientes%20de%20Recetas/@Pollo%2024788a385be780eb9c7ec59869373219.csv), @aceite de oliva (Ingredientes%20de%20Recetas/@aceite%20de%20oliva%2024788a385be780bc8d0ad6740a0ba3cd.csv)",🟡 Medio,14888,No,No,Plato (Planificaci%C3%B3n%20de%20comidas%20y%20compras/Plato%2025f88a385be7806699fbd72220756bfa.csv),1,,,,,,14888
,Carbonada,Almuerzo,"@Cebolla (Ingredientes%20de%20Recetas/@Cebolla%2024688a385be78074986bd111b61c9326.csv), @Pimentón (Ingredientes%20de%20Recetas/@Piment%C3%B3n%2024788a385be780028398c49247b45f16.csv), @Zanahoria (Ingredientes%20de%20Recetas/@Zanahoria%2024788a385be78028a2bad8943154af01.csv), @Papas (Ingredientes%20de%20Recetas/@Papas%2024788a385be7805bbf77fedb691a03ad.csv), @Zapallo (Ingredientes%20de%20Recetas/@Zapallo%2024788a385be780f28528f4ea7a551b98.csv), @Choclo (Ingredientes%20de%20Recetas/@Choclo%2024788a385be7802da048d58fbe783728.csv), @Porotos Verdes (Ingredientes%20de%20Recetas/@Porotos%20Verdes%2024788a385be7807a939af263934744a3.csv), @Carne entera (Ingredientes%20de%20Recetas/@Carne%20entera%2024788a385be7805f906fc6e73d2ccf9c.csv)",🟡 Medio,16062.07142857145,No,No,Plato (Planificaci%C3%B3n%20de%20comidas%20y%20compras/Plato%2025f88a385be780cfa7dadb4625daa07e.csv),1,,,,,,16062.07142857145
,Puré con bistec,Almuerzo,"@Papas (Ingredientes%20de%20Recetas/@Papas%2024688a385be780e6a197cdcc062b8890.csv), @Crema sin lactosa (Ingredientes%20de%20Recetas/@Crema%20sin%20lactosa%2024788a385be7809ebd24c9828e3d6e4e.csv), @Mantequilla (Ingredientes%20de%20Recetas/@Mantequilla%2024788a385be78037a363ca94e047e7ea.csv), @Bistec (Ingredientes%20de%20Recetas/@Bistec%2024788a385be78082819ec801892cd609.csv)",🟡 Medio,17068,No,No,Plato (Planificaci%C3%B3n%20de%20comidas%20y%20compras/Plato%2025f88a385be7806d9d8cdb679548679c.csv),1,,,,,,17068
,Cazuela,Almuerzo,"@Pimentón (Ingredientes%20de%20Recetas/@Piment%C3%B3n%2024688a385be780638864d966d171d60e.csv), @Cebolla (Ingredientes%20de%20Recetas/@Cebolla%2024788a385be7800f9befd7751f2419e6.csv), @Papas (Ingredientes%20de%20Recetas/@Papas%2024788a385be7801d97c1c7eaedbecac4.csv), @Zapallo (Ingredientes%20de%20Recetas/@Zapallo%2024788a385be780f2848cee22597c2fab.csv), @Zanahoria (Ingredientes%20de%20Recetas/@Zanahoria%2024788a385be7803195e4f43c377aff6b.csv), @Caldo (Ingredientes%20de%20Recetas/@Caldo%2024788a385be780099d9bde63659291db.csv), @Arroz (Ingredientes%20de%20Recetas/@Arroz%2024788a385be780568f6aca927f3366de.csv), @Choclo (Ingredientes%20de%20Recetas/@Choclo%2024788a385be780c380c4ddda81b13beb.csv), @Porotos Verdes (Ingredientes%20de%20Recetas/@Porotos%20Verdes%2024788a385be7802aba72f4c0d91a8346.csv), @Carne entera (Ingredientes%20de%20Recetas/@Carne%20entera%2024788a385be78087b604fe7ca9048248.csv)",🟡 Medio,19268.57142857145,No,No,Plato (Planificaci%C3%B3n%20de%20comidas%20y%20compras/Plato%2025f88a385be780e7835acf445624c02c.csv),1,,,,,,19268.57142857145
,Lasagna,Almuerzo,"@Carne molida (Ingredientes%20de%20Recetas/@Carne%20molida%2024788a385be780f28cebd05ecce52d1b.csv), @Cebolla (Ingredientes%20de%20Recetas/@Cebolla%2024788a385be780cdb691fbdb38f2a164.csv), @Zanahoria (Ingredientes%20de%20Recetas/@Zanahoria%2024988a385be7802192aae3b69491c2de.csv), @Salsa de tomate (Ingredientes%20de%20Recetas/@Salsa%20de%20tomate%2024988a385be78080b529df364acd0e06.csv), @Mozzarella (Ingredientes%20de%20Recetas/@Mozzarella%2024988a385be780eeae62db3798150f1d.csv), @Queso rallado (Ingredientes%20de%20Recetas/@Queso%20rallado%2024988a385be780d596abe1eec643cfc7.csv), @Champiñones (Ingredientes%20de%20Recetas/@Champi%C3%B1ones%2024988a385be78021b2d0f4d607587269.csv), @Mantequilla (Ingredientes%20de%20Recetas/@Mantequilla%2024988a385be7800bb2b0eb115d6530e5.csv), @Leche sin lactosa (Ingredientes%20de%20Recetas/@Leche%20sin%20lactosa%2024988a385be780f390bbc1759eafab29.csv), @Harina 0000 (Ingredientes%20de%20Recetas/@Harina%200000%2024988a385be78028870ad3f4e4f63d83.csv), @Sal (Ingredientes%20de%20Recetas/@Sal%2024988a385be7802d952dd92b4ca2008b.csv)",🔴 Alto,25076.633333333608,No,No,Plato (Planificaci%C3%B3n%20de%20comidas%20y%20compras/Plato%2025f88a385be7802693c6dd246716074b.csv),1,,,,,,25076.63333333361
